(mot16480, palabra16480)
(mot33221, palabra33221)
(mot24367, palabra24367)
(mot71216, palabra71216)
(mot28136, palabra28136)
(mot37780, palabra37780)
(mot53256, palabra53256)
(mot30430, palabra30430)
(mot4384, palabra4384)
(mot65461, palabra65461)
(mot33131, palabra33131)
(mot33753, palabra33753)
(mot5801, palabra5801)
(mot484, palabra484)
(mot86964, palabra86964)
(mot62291, palabra62291)
(mot5291, palabra5291)
(mot71206, palabra71206)
(mot44342, palabra44342)
(mot82027, palabra82027)
(mot3432, palabra3432)
(mot70970, palabra70970)
(mot93452, palabra93452)
(mot99501, palabra99501)
(mot29190, palabra29190)
(mot80191, palabra80191)
(mot1562, palabra1562)
(mot51182, palabra51182)
(mot23103, palabra23103)
(mot51104, palabra51104)
(mot12724, palabra12724)
(mot92587, palabra92587)
(mot75418, palabra75418)
(mot72396, palabra72396)
(mot6309, palabra6309)
(mot84794, palabra84794)
(mot45019, palabra45019)
(mot60639, palabra60639)
(mot34515, palabra34515)
(mot83507, palabra83507)
(mot7660, palabra7660)
(mot68062, palabra68062)
(mot10997, palabra10997)
(mot15373, palabra15373)
(mot14289, palabra14289)
(mot41131, palabra41131)
(mot88951, palabra88951)
(mot69346, palabra69346)
(mot70076, palabra70076)
(mot35628, palabra35628)
(mot32689, palabra32689)
(mot18436, palabra18436)
(mot24493, palabra24493)
(mot35118, palabra35118)
(mot53184, palabra53184)
(mot70197, palabra70197)
(mot2944, palabra2944)
(mot39842, palabra39842)
(mot8903, palabra8903)
(mot63427, palabra63427)
(mot12968, palabra12968)
(mot33377, palabra33377)
(mot97253, palabra97253)
(mot10775, palabra10775)
(mot48652, palabra48652)
(mot13875, palabra13875)
(mot72500, palabra72500)
(mot18033, palabra18033)
(mot67254, palabra67254)
(mot32387, palabra32387)
(mot84200, palabra84200)
(mot8951, palabra8951)
(mot36437, palabra36437)
(mot57566, palabra57566)
(mot74617, palabra74617)
(mot21370, palabra21370)
(mot32236, palabra32236)
(mot56966, palabra56966)
(mot43676, palabra43676)
(mot80708, palabra80708)
(mot24580, palabra24580)
(mot78156, palabra78156)
(mot43338, palabra43338)
(mot34504, palabra34504)
(mot87261, palabra87261)
(mot99760, palabra99760)
(mot14270, palabra14270)
(mot45745, palabra45745)
(mot23649, palabra23649)
(mot47286, palabra47286)
(mot43600, palabra43600)
(mot36107, palabra36107)
(mot1131, palabra1131)
(mot9771, palabra9771)
(mot34352, palabra34352)
(mot27505, palabra27505)
(mot19690, palabra19690)
(mot99530, palabra99530)
(mot75934, palabra75934)
(mot16510, palabra16510)
(mot2169, palabra2169)
(mot80230, palabra80230)
(mot4803, palabra4803)
(mot16221, palabra16221)
(mot78684, palabra78684)
(mot99427, palabra99427)
(mot90343, palabra90343)
(mot36454, palabra36454)
(mot65593, palabra65593)
(mot88733, palabra88733)
(mot36727, palabra36727)
(mot8278, palabra8278)
(mot50602, palabra50602)
(mot46586, palabra46586)
(mot81451, palabra81451)
(mot58333, palabra58333)
(mot73311, palabra73311)
(mot70767, palabra70767)
(mot64300, palabra64300)
(mot43413, palabra43413)
(mot6291, palabra6291)
(mot45592, palabra45592)
(mot81480, palabra81480)
(mot47765, palabra47765)
(mot10802, palabra10802)
(mot33975, palabra33975)
(mot62202, palabra62202)
(mot10664, palabra10664)
(mot74834, palabra74834)
(mot68345, palabra68345)
(mot32741, palabra32741)
(mot1244, palabra1244)
(mot62988, palabra62988)
(mot79405, palabra79405)
(mot34882, palabra34882)
(mot2036, palabra2036)
(mot26455, palabra26455)
(mot95220, palabra95220)
(mot15740, palabra15740)
(mot15237, palabra15237)
(mot85430, palabra85430)
(mot1725, palabra1725)
(mot38877, palabra38877)
(mot95277, palabra95277)
(mot77110, palabra77110)
(mot87245, palabra87245)
(mot9419, palabra9419)
(mot85813, palabra85813)
(mot31437, palabra31437)
(mot52373, palabra52373)
(mot81237, palabra81237)
(mot4987, palabra4987)
(mot75246, palabra75246)
(mot15047, palabra15047)
(mot52810, palabra52810)
(mot70271, palabra70271)
(mot52635, palabra52635)
(mot27576, palabra27576)
(mot66486, palabra66486)
(mot35098, palabra35098)
(mot86394, palabra86394)
(mot96463, palabra96463)
(mot67471, palabra67471)
(mot59604, palabra59604)
(mot84359, palabra84359)
(mot4846, palabra4846)
(mot32719, palabra32719)
(mot24664, palabra24664)
(mot26699, palabra26699)
(mot31894, palabra31894)
(mot98147, palabra98147)
(mot52370, palabra52370)
(mot61366, palabra61366)
(mot97518, palabra97518)
(mot440, palabra440)
(mot6184, palabra6184)
(mot23260, palabra23260)
(mot49394, palabra49394)
(mot26243, palabra26243)
(mot27433, palabra27433)
(mot47400, palabra47400)
(mot52605, palabra52605)
(mot90667, palabra90667)
(mot68615, palabra68615)
(mot28966, palabra28966)
(mot90168, palabra90168)
(mot1602, palabra1602)
(mot68495, palabra68495)
